,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_merged_1_dropout,params_merged_1_size,params_merged_2_dropout,params_merged_2_size,params_merged_3_dropout,params_merged_3_size,state
11,11,0.7830188679245284,2024-03-04 21:57:06.077612,2024-03-04 21:57:43.592242,0 days 00:00:37.514630,1.02116491659531e-05,0.25144583069654713,247,0.41659810785497403,85,0.1440531479376515,32,COMPLETE
12,12,0.8018867924528302,2024-03-04 21:57:43.593335,2024-03-04 21:57:58.540088,0 days 00:00:14.946753,0.005464336325631149,0.22299488543904236,161,0.3963069213741193,63,0.39230321722575495,37,COMPLETE
13,13,0.7641509433962265,2024-03-04 21:57:58.541134,2024-03-04 21:58:24.330070,0 days 00:00:25.788936,0.00035813842097231433,0.1496857092008099,79,0.12285544378592608,37,0.4413123798605162,49,COMPLETE
14,14,0.8207547169811321,2024-03-04 21:58:24.331176,2024-03-04 21:58:35.985713,0 days 00:00:11.654537,0.014542595759507832,0.31376512624097724,216,0.4559480685434492,85,0.2012940475255967,64,COMPLETE
15,15,0.7830188679245284,2024-03-04 21:58:35.986791,2024-03-04 21:58:43.390302,0 days 00:00:07.403511,0.015808386730330793,0.3646644154172239,222,0.49065306651960433,117,0.1924184031667608,64,COMPLETE
16,16,0.5188679245283019,2024-03-04 21:58:43.391354,2024-03-04 21:58:52.745219,0 days 00:00:09.353865,0.04511407650662548,0.2952617640468052,163,0.42729467607655014,91,0.10246801508852735,64,COMPLETE
17,17,0.839622641509434,2024-03-04 21:58:52.745870,2024-03-04 21:59:00.806074,0 days 00:00:08.060204,0.010020087051518994,0.4365697820323067,252,0.3509617834128105,102,0.3480315544573079,52,COMPLETE
18,18,0.7641509433962265,2024-03-04 21:59:00.807070,2024-03-04 21:59:08.960331,0 days 00:00:08.153261,0.005156938678233,0.4906074517404191,253,0.35111979080343697,103,0.341382706687477,52,COMPLETE
19,19,0.7641509433962265,2024-03-04 21:59:08.961447,2024-03-04 21:59:16.745456,0 days 00:00:07.784009,0.03144501310983934,0.4378604248268761,103,0.34810870569391344,116,0.37353440064665777,41,COMPLETE
20,20,0.7547169811320755,2024-03-04 21:59:16.746577,2024-03-04 21:59:31.523615,0 days 00:00:14.777038,0.006259197050119363,0.4393227759610409,143,0.23823852074973043,124,0.4445183216044434,53,COMPLETE
21,21,0.8113207547169812,2024-03-04 21:59:31.524339,2024-03-04 21:59:39.372505,0 days 00:00:07.848166,0.013238040779458886,0.30233846350973304,228,0.45249451002644914,94,0.32359451799320105,60,COMPLETE
22,22,0.7830188679245284,2024-03-04 21:59:39.374266,2024-03-04 21:59:52.154252,0 days 00:00:12.779986,0.0024796857148913776,0.3496778522921293,239,0.4512247979927998,85,0.219961467806891,53,COMPLETE
23,23,0.8018867924528302,2024-03-04 21:59:52.155445,2024-03-04 22:00:09.913482,0 days 00:00:17.758037,0.00969795052862064,0.39711602827224995,215,0.3576958555322861,107,0.3674778023214973,62,COMPLETE
24,24,0.8301886792452831,2024-03-04 22:00:09.914593,2024-03-04 22:00:26.403171,0 days 00:00:16.488578,0.0010850051119284934,0.43905539683592953,215,0.4419146404072439,96,0.2974341348628518,56,COMPLETE
25,25,0.8113207547169812,2024-03-04 22:00:26.404349,2024-03-04 22:00:40.287927,0 days 00:00:13.883578,0.001071604103673349,0.4499297997506037,178,0.3667265791777031,99,0.27230828065648977,43,COMPLETE
26,26,0.8301886792452831,2024-03-04 22:00:40.289044,2024-03-04 22:01:02.763848,0 days 00:00:22.474804,0.0007158301964624306,0.4594396733288496,240,0.4256979974284895,109,0.42057937621686803,55,COMPLETE
27,27,0.7641509433962265,2024-03-04 22:01:02.764995,2024-03-04 22:01:31.179294,0 days 00:00:28.414299,0.0003500529085658668,0.4713115032080538,242,0.4306752472465881,110,0.43371367123753324,49,COMPLETE
28,28,0.7735849056603774,2024-03-04 22:01:31.180468,2024-03-04 22:02:09.947669,0 days 00:00:38.767201,0.00012357045885408446,0.4266024531442807,255,0.4588615043436606,121,0.4862699402758374,55,COMPLETE
29,29,0.7641509433962265,2024-03-04 22:02:09.948840,2024-03-04 22:02:31.974056,0 days 00:00:22.025216,0.000572462986456488,0.49377483988181003,212,0.4079019932622553,108,0.3003496736302587,49,COMPLETE
